begin_date	id	first_name	last_name	email_address	birthdate	customer_status_id	phone_number
2003-06-30	1	Tyler	Smalls	TylerSmalls@gmail.com	1982-03-05	1	+19031802317
2010-12-31	2	Michael	Brown	MichaelBrown@gmail.com	1968-10-24	1	+19366781693
2004-06-07	3	Joseph	Setchell	JosephSetchell@gmail.com	1978-04-20	1	+16821744654
2002-12-03	4	Kisha	Vargas	KishaVargas@gmail.com	1974-05-26	1	+19726953213
2021-04-13	5	Christopher	Robinson	ChristopherRobinson@gmail.com	1989-11-16	1	+18308650244
2017-04-20	6	Paul	Knight	PaulKnight@gmail.com	1983-07-19	1	+19799746122
2021-02-23	7	John	Velasquez	JohnVelasquez@gmail.com	1979-04-01	3	+13253107958
2021-02-24	8	Jean	Hawley	JeanHawley@gmail.com	1964-11-04	2	+13250473132
2015-05-08	9	Adam	Bissonnette	AdamBissonnette@gmail.com	1978-11-02	1	+14303724103
2021-08-29	10	Michael	Wyatt	MichaelWyatt@gmail.com	1985-12-04	1	+12548344780
2007-05-09	11	Dennis	Yeager	DennisYeager@gmail.com	1982-12-20	2	+13255393874
2018-01-04	12	Nelson	Cashdollar	NelsonCashdollar@gmail.com	1970-10-04	1	+12817144401
2021-02-02	13	Caryn	Pendergast	CarynPendergast@gmail.com	1976-06-22	1	+12146720926
2018-04-16	14	Audrey	Ressler	AudreyRessler@gmail.com	1987-01-06	1	+12815078945
2021-11-10	15	Robert	Lovett	RobertLovett@gmail.com	1980-04-06	1	+18069557357
2021-05-10	16	Tad	Maisenbacher	TadMaisenbacher@gmail.com	1989-01-09	2	+19153653918
2016-10-19	17	Earl	Polson	EarlPolson@gmail.com	1974-05-19	1	+14307522307
2020-03-05	18	Jose	Evans	JoseEvans@gmail.com	1975-11-20	1	+14304523962
2021-01-01	19	Karen	Suryan	KarenSuryan@gmail.com	1963-03-17	1	+12145621204
2021-09-08	20	Thomas	Compton	ThomasCompton@gmail.com	1980-01-31	1	+19566925938
2021-02-07	21	Jesse	Sturm	JesseSturm@gmail.com	1976-07-12	2	+14694689922
2021-06-22	22	Helen	Mcdonald	HelenMcdonald@gmail.com	1981-05-13	1	+19729405710
2018-02-09	23	Debra	Nava	DebraNava@gmail.com	1978-01-30	3	+13611376061
2021-02-15	24	Linda	Blankenship	LindaBlankenship@gmail.com	1973-07-17	1	+19792800142
2019-04-10	25	Brandon	Pitts	BrandonPitts@gmail.com	1972-04-09	3	+19158902474
2017-06-09	26	Dorothy	Bryan	DorothyBryan@gmail.com	1988-06-13	1	+19562427605
2021-11-12	27	Kenneth	Cain	KennethCain@gmail.com	1979-06-25	1	+14692160561
2008-12-14	28	Sofia	Buonocore	SofiaBuonocore@gmail.com	1960-09-27	1	+16822985228
2018-10-09	29	Joseph	Conyer	JosephConyer@gmail.com	1961-02-06	2	+13255774796
2016-06-01	30	Leticia	Gibson	LeticiaGibson@gmail.com	1972-09-01	1	+19031131227
2008-10-05	31	Stella	Reeves	StellaReeves@gmail.com	1969-09-10	1	+17132663798
2019-03-11	32	Gerald	Perry	GeraldPerry@gmail.com	1961-08-07	1	+19720857136
2012-12-28	33	Gloria	Stone	GloriaStone@gmail.com	1967-07-26	2	+19151473322
2021-04-07	34	Gary	Shamapande	GaryShamapande@gmail.com	1983-12-26	3	+19150111249
2015-02-25	35	Tyler	James	TylerJames@gmail.com	1975-07-29	1	+18324727126
2021-04-05	36	Sherrie	Lary	SherrieLary@gmail.com	1963-07-28	1	+14304598223
2015-12-27	37	Jonathan	Logan	JonathanLogan@gmail.com	1980-09-05	3	+14320930132
2021-06-16	38	Richard	Alvord	RichardAlvord@gmail.com	1985-11-04	1	+12140125596
2021-10-30	39	Ruth	Graves	RuthGraves@gmail.com	1963-09-17	1	+18323651497
2021-07-28	40	William	Flynn	WilliamFlynn@gmail.com	1982-11-03	1	+14696251062
2021-01-14	41	Sandra	Halstead	SandraHalstead@gmail.com	1989-10-14	1	+17137997348
